equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
840 -0.00733317 -0.00357345
841 -0.00721778 -0.00352041
842 -0.00710391 -0.00351322
843 -0.00706432 -0.00355858
844 -0.00713714 -0.00377339
845 -0.00720251 -0.00398838
846 -0.0072536 -0.00417634
847 -0.0074068 -0.00444762
848 -0.00753477 -0.00468418
849 -0.00766982 -0.00489472
850 -0.00788681 -0.00515431
851 -0.00810952 -0.005352
852 -0.00823203 -0.0055022
853 -0.00821801 -0.00550353
854 -0.00819071 -0.00549011
855 -0.00809261 -0.00548712
856 -0.0079087 -0.0054478
857 -0.00781528 -0.00547762
858 -0.00781303 -0.00554879
859 -0.00776526 -0.00556051
860 -0.00780847 -0.00562255
861 -0.00793229 -0.00575321
862 -0.00807705 -0.005912
863 -0.00813565 -0.00595877
864 -0.00803997 -0.00589947
865 -0.00775156 -0.00562556
866 -0.00761651 -0.00546339
867 -0.00743238 -0.00524134
868 -0.00726049 -0.00497188
869 -0.00703121 -0.00465327
870 -0.0067707 -0.00437326
871 -0.00643818 -0.00404202
872 -0.00615351 -0.00375981
873 -0.00591209 -0.00355051
874 -0.00563106 -0.00332085
875 -0.00540917 -0.00313373
876 -0.00514755 -0.00291625
877 -0.00486998 -0.00267996
878 -0.00449331 -0.00229546
879 -0.00421733 -0.00198842
880 -0.00415506 -0.00191981
881 -0.00415124 -0.0018931
882 -0.00420341 -0.00185709
883 -0.00431098 -0.00188694
884 -0.00444218 -0.00199901
885 -0.00444812 -0.00202868
886 -0.00433377 -0.00198304
887 -0.00417205 -0.00184284
888 -0.0040565 -0.00170121
889 -0.00384296 -0.00147902
890 -0.00343529 -0.00109805
891 -0.0031716 -0.000830349
892 -0.003095 -0.000722584
893 -0.00300083 -0.000534202
894 -0.00289194 -0.000290405
895 -0.00280191 -3.35906e-05
896 -0.00262554 0.000303757
897 -0.00260665 0.000435114
898 -0.00262326 0.00056134
899 -0.00250364 0.000835706
900 -0.00233686 0.00107286
901 -0.00204477 0.00138856
902 -0.00163796 0.00177554
903 -0.00124212 0.00211555
904 -0.000891735 0.00245398
905 -0.000577365 0.00276009
906 -0.000337738 0.00300914
907 -9.43487e-05 0.0032771
908 5.23939e-05 0.00344781
909 0.000305594 0.00371072
910 0.000486072 0.0039697
911 0.000733366 0.00435838
912 0.00106516 0.00477054
913 0.00132043 0.00510613
914 0.00150005 0.00539768
915 0.00173587 0.00561981
916 0.00195412 0.00588858
917 0.00204922 0.0060451
918 0.00222059 0.0062806
919 0.00239299 0.0064849
920 0.00266441 0.00681739
921 0.00274919 0.00705244
922 0.00294275 0.00739628
923 0.00317102 0.00771755
924 0.003304 0.0079487
925 0.0034421 0.00815681
926 0.00373913 0.00848437
927 0.00412111 0.0088061
928 0.00434376 0.00898638
929 0.00456446 0.00917625
930 0.00473832 0.0093662
931 0.00492888 0.00961
932 0.00494503 0.00972048
933 0.00511014 0.00999739
934 0.00542358 0.0103923
935 0.00589471 0.0108834
936 0.00644712 0.0114472
937 0.00703018 0.0120068
938 0.00755965 0.012543
939 0.00811189 0.0131006
940 0.00855314 0.0135313
941 0.00910739 0.0140322
942 0.00968426 0.0145243
943 0.0103221 0.0150831
944 0.010927 0.0155625
945 0.0114391 0.0159458
946 0.011755 0.0162156
947 0.0120576 0.0164687
948 0.0123533 0.0167429
949 0.0124872 0.0168269
950 0.0125804 0.0169156
951 0.012661 0.0169412
952 0.0125825 0.0168296
953 0.0123404 0.0166007
954 0.0122907 0.0165111
955 0.012314 0.0165091
956 0.012475 0.0166218
957 0.0125713 0.0166333
958 0.0127594 0.0167215
959 0.0130718 0.0168748
960 0.0133369 0.0170706
961 0.0135221 0.0172264
962 0.0138333 0.0174867
963 0.0142107 0.0178166
964 0.0147645 0.0182163
965 0.0151749 0.0185503
966 0.0155668 0.0189075
967 0.016047 0.0192951
968 0.0167409 0.0198521
969 0.0174635 0.0203922
